City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Punta Arenas,CL,-53.16,-70.91,48.2,66,100,6.93,0.0,0.0
1,Padang,ID,-0.92,100.36,65.68,96,100,1.39,0.0,0.0
2,Chuy,UY,-33.69,-53.46,65.05,78,2,13.13,0.0,0.0
3,Mar Del Plata,AR,-46.43,-67.52,53.8,65,0,14.79,0.0,0.0
4,Qaanaaq,GL,77.48,-69.36,-2.37,35,0,4.88,0.0,0.0
5,Vallenar,CL,-28.58,-70.76,68.27,48,29,9.84,0.0,0.0
6,Jalu,LY,29.03,21.55,70.48,64,100,9.26,0.0,0.0
7,Vaini,IN,15.34,74.49,67.01,76,0,3.2,0.0,0.0
8,Nizwa,OM,22.93,57.53,65.52,67,35,4.43,0.19,0.0
9,Bredasdorp,ZA,-34.53,20.04,66.0,82,100,12.75,0.0,0.0
10,Awjilah,LY,29.14,21.3,70.48,64,100,9.26,0.0,0.0
11,Hilo,US,19.71,-155.08,84.2,62,1,3.36,0.0,0.0
12,Jamestown,AU,-33.21,138.6,61.97,26,0,11.27,0.0,0.0
13,Atuona,PF,-9.8,-139.03,79.65,71,0,11.99,0.0,0.0
14,Busselton,AU,-33.64,115.35,55.99,57,0,11.14,0.0,0.0
15,Hervey Bay,AU,-25.3,152.85,70.0,67,0,6.93,0.0,0.0
16,Ushuaia,AR,-54.81,-68.31,62.6,29,12,3.36,0.0,0.0
17,Portland,US,43.66,-70.25,46.99,33,75,11.41,0.0,0.0
18,Pavilosta,LV,56.89,21.19,46.4,87,100,3.36,0.13,0.0
19,Rikitea,PF,-23.12,-134.97,73.87,83,100,14.0,0.0,0.0
20,Alofi,NU,-19.06,-169.92,80.6,69,75,12.75,0.0,0.0
21,Port Alfred,ZA,-33.59,26.89,63.0,95,100,4.0,0.19,0.0
22,Puerto Ayora,EC,-0.74,-90.35,78.8,61,40,11.41,0.0,0.0
23,San Buenaventura,MX,27.06,-101.55,75.0,53,40,6.2,0.0,0.0
24,Chokurdakh,RU,70.62,147.9,3.69,95,99,9.75,0.0,0.0
25,Ormara,PK,25.21,64.64,79.75,47,87,9.13,0.0,0.0
26,New Norfolk,AU,-42.78,147.06,53.01,71,75,10.29,0.0,0.0
27,Cape Town,ZA,-33.93,18.42,69.01,72,0,3.36,0.0,0.0
28,Darhan,MN,49.49,105.92,17.44,62,100,10.07,0.0,0.0
29,Dutlwe,BW,-23.98,23.93,72.12,66,100,11.81,1.5,0.0
30,Arraial Do Cabo,BR,-22.97,-42.02,82.4,83,40,9.17,0.0,0.0
31,Sembakung,ID,3.82,117.25,74.61,90,65,2.44,0.0,0.0
32,Hobart,AU,-42.88,147.33,53.01,71,75,10.29,0.0,0.0
33,Port Macquarie,AU,-31.43,152.91,59.0,100,90,4.38,0.0,0.0
34,Ambon,FR,47.55,-2.56,46.99,93,97,2.53,0.0,0.0
35,Omboue,GA,-1.57,9.26,75.06,98,100,1.72,14.38,0.0
36,Buchanan,LR,5.88,-10.05,80.6,83,40,3.94,0.0,0.0
37,Nome,US,30.04,-94.42,77.0,44,1,6.93,0.0,0.0
38,Tuatapere,NZ,-46.13,167.69,50.0,71,100,10.0,0.13,0.0
