City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
1,1,Padang,ID,-0.92,100.36,65.68,96,100,1.39,0.0,0.0
2,2,Chuy,UY,-33.69,-53.46,65.05,78,2,13.13,0.0,0.0
5,5,Vallenar,CL,-28.58,-70.76,68.27,48,29,9.84,0.0,0.0
6,6,Jalu,LY,29.03,21.55,70.48,64,100,9.26,0.0,0.0
7,7,Vaini,IN,15.34,74.49,67.01,76,0,3.2,0.0,0.0
8,8,Nizwa,OM,22.93,57.53,65.52,67,35,4.43,0.19,0.0
9,9,Bredasdorp,ZA,-34.53,20.04,66.0,82,100,12.75,0.0,0.0
10,10,Awjilah,LY,29.14,21.3,70.48,64,100,9.26,0.0,0.0
11,11,Hilo,US,19.71,-155.08,84.2,62,1,3.36,0.0,0.0
12,12,Jamestown,AU,-33.21,138.6,61.97,26,0,11.27,0.0,0.0
13,13,Atuona,PF,-9.8,-139.03,79.65,71,0,11.99,0.0,0.0
15,15,Hervey Bay,AU,-25.3,152.85,70.0,67,0,6.93,0.0,0.0
16,16,Ushuaia,AR,-54.81,-68.31,62.6,29,12,3.36,0.0,0.0
19,19,Rikitea,PF,-23.12,-134.97,73.87,83,100,14.0,0.0,0.0
20,20,Alofi,NU,-19.06,-169.92,80.6,69,75,12.75,0.0,0.0
21,21,Port Alfred,ZA,-33.59,26.89,63.0,95,100,4.0,0.19,0.0
22,22,Puerto Ayora,EC,-0.74,-90.35,78.8,61,40,11.41,0.0,0.0
23,23,San Buenaventura,MX,27.06,-101.55,75.0,53,40,6.2,0.0,0.0
25,25,Ormara,PK,25.21,64.64,79.75,47,87,9.13,0.0,0.0
27,27,Cape Town,ZA,-33.93,18.42,69.01,72,0,3.36,0.0,0.0
29,29,Dutlwe,BW,-23.98,23.93,72.12,66,100,11.81,1.5,0.0
30,30,Arraial Do Cabo,BR,-22.97,-42.02,82.4,83,40,9.17,0.0,0.0
31,31,Sembakung,ID,3.82,117.25,74.61,90,65,2.44,0.0,0.0
35,35,Omboue,GA,-1.57,9.26,75.06,98,100,1.72,14.38,0.0
36,36,Buchanan,LR,5.88,-10.05,80.6,83,40,3.94,0.0,0.0
37,37,Nome,US,30.04,-94.42,77.0,44,1,6.93,0.0,0.0
39,39,Port Lincoln,AU,-34.72,135.86,69.98,25,0,19.84,0.0,0.0
40,40,Coquimbo,CL,-29.95,-71.34,82.0,72,20,12.75,0.0,0.0
42,42,Mahebourg,MU,-20.41,57.7,72.0,94,40,3.36,0.0,0.0
44,44,Lorengau,PG,-2.02,147.27,83.53,73,63,9.04,0.0,0.0
45,45,Butaritari,KI,3.07,172.79,83.53,72,100,6.2,0.0,0.0
46,46,Corinto,CO,3.17,-76.26,86.0,51,40,12.75,0.0,0.0
50,50,Tumarbong,PH,10.38,119.46,73.15,96,26,2.04,0.0,0.0
52,52,Castro,CL,-42.48,-73.76,64.4,59,99,6.93,0.0,0.0
53,53,Faanui,PF,-16.48,-151.75,79.59,77,100,11.99,0.0,0.0
54,54,Karratha,AU,-20.74,116.85,79.34,51,0,16.2,0.0,0.0
55,55,Fortuna,US,40.6,-124.16,62.01,77,20,10.29,0.0,0.0
57,57,Beloha,MG,-25.17,45.06,65.48,81,4,13.44,0.0,0.0
63,63,Puerto Escondido,MX,15.86,-97.07,87.8,70,40,9.17,0.0,0.0
66,66,Inirida,CO,3.87,-67.92,81.41,87,100,4.54,1.19,0.0
67,67,Hithadhoo,MV,-0.6,73.08,82.45,73,98,8.41,0.38,0.0
68,68,Georgetown,GY,6.8,-58.16,86.0,74,20,11.41,0.0,0.0
69,69,Lompoc,US,34.64,-120.46,80.01,68,1,13.87,0.0,0.0
70,70,Maralal,KE,1.1,36.7,65.55,80,76,13.42,0.31,0.0
71,71,Noumea,NC,-22.28,166.46,75.99,64,90,2.24,0.0,0.0
72,72,Ajdabiya,LY,30.75,20.22,69.44,72,96,4.03,0.0,0.0
74,74,Bambous Virieux,MU,-20.34,57.76,72.0,94,40,3.36,0.0,0.0
78,78,Tual,ID,-5.67,132.75,80.62,73,100,4.79,0.0,0.0
82,82,Hermanus,ZA,-34.42,19.24,66.0,86,48,11.99,0.0,0.0
83,83,Teknaf,BD,20.86,92.31,71.26,99,76,1.95,3.13,0.0
85,85,East London,ZA,-33.02,27.91,67.73,85,100,21.63,1.31,0.0
86,86,Touros,BR,-5.2,-35.46,82.4,65,40,10.29,0.0,0.0
88,88,Lebu,ET,8.96,38.73,60.8,59,75,6.93,0.0,0.0
92,92,Progreso,UY,-34.68,-56.22,71.6,53,40,13.87,0.0,0.0
94,94,Watsa,CD,3.04,29.53,67.53,95,100,1.36,0.0,0.0
95,95,Matay,EG,28.42,30.79,68.49,53,0,10.04,0.0,0.0
96,96,Carnarvon,ZA,-30.97,22.13,64.2,52,24,7.49,0.0,0.0
98,98,Mushie,CD,-3.02,16.92,74.01,94,53,3.31,0.0,0.0
100,100,Maceio,BR,-9.67,-35.74,80.6,69,21,14.99,0.0,0.0
101,101,Lithakia,GR,37.72,20.83,60.01,87,20,2.86,0.0,0.0
103,103,Avera,US,33.19,-82.53,68.0,34,1,5.82,0.0,0.0
104,104,Sur,OM,22.57,59.53,74.89,57,0,4.12,0.0,0.0
106,106,Kavieng,PG,-2.57,150.8,81.63,67,100,2.42,0.0,0.0
107,107,Coihaique,CL,-45.58,-72.07,68.0,52,40,5.82,0.0,0.0
108,108,Bluff,AU,-23.58,149.07,73.08,21,93,2.55,0.0,0.0
111,111,Bouna,CI,9.27,-3.0,80.13,47,11,4.27,0.0,0.0
112,112,Marsa Matruh,EG,31.35,27.25,74.93,68,0,10.04,0.0,0.0
113,113,Wajir,KE,1.75,40.07,85.66,56,91,9.44,0.0,0.0
115,115,Barrow,AR,-38.31,-60.23,62.24,75,100,16.28,0.44,0.0
117,117,Los Llanos De Aridane,ES,28.66,-17.92,69.8,83,40,18.34,0.0,0.0
118,118,Pacific Grove,US,36.62,-121.92,75.99,62,1,4.7,0.0,0.0
